,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
16,This Is Something for the Radio (Best Of),Biz's Baddest Beats: The Best of Biz Markie,Biz Markie,1994-08-07,306400,27,0.887,0.0129,0.887,0.527,8.21e-05,0.106,-11.47,0.246,107.366,4
17,"It's Yourz (feat. Raekwon, U-God, RZA, Inspectah Deck & Ghostface Killah)",Wu-Tang Forever,Wu-Tang Clan,1997-06-03,256893,48,0.817,0.0835,0.817,0.794,0.0,0.798,-9.434,0.334,93.067,4
18,Pain,Pain,De La Soul,2016-06-01,279754,31,0.908,0.0452,0.908,0.417,0.0824,0.0895,-8.244,0.255,104.504,4
19,Trainwreck,Trainwreck,De La Soul,2016-05-06,197878,15,0.772,0.334,0.772,0.624,6.3e-05,0.12,-9.447,0.175,95.009,4
20,The Breaks,The Best Of Kurtis Blow,Kurtis Blow,1994-01-01,469266,48,0.818,0.122,0.818,0.67,0.00156,0.31,-13.912,0.0757,112.704,4
21,Feel Good Inc.,Demon Days,Gorillaz,2005-05-23,222640,83,0.818,0.00836,0.818,0.705,0.00233,0.613,-6.679,0.177,138.559,4
22,One To Grow On,Fruits Of Nature,The UMC's,1991,213400,0,0.825,0.0287,0.825,0.611,0.0,0.0917,-13.089,0.1,111.576,4
23,Lonely Disco Dancer,Dee Dee Bridgewater,Dee Dee Bridgewater,1980,297000,30,0.685,0.489,0.685,0.582,0.0174,0.115,-10.201,0.0388,96.737,4
24,Feed Me Your Love,Funky,Fatback Band,2011-09-26,230733,0,0.807,0.0143,0.807,0.6,0.242,0.149,-10.248,0.0834,89.043,4
25,Dujii,Kool Jazz,Kool & The Gang,1973,362493,20,0.462,0.458,0.462,0.499,0.595,0.716,-10.436,0.0273,103.27,4
26,Suzie Thundertussy,Suzie Thundertussy,Junie Morrison,2016-01-21,222423,35,0.462,0.164,0.462,0.714,4.61e-06,0.414,-11.066,0.12,96.985,4
27,Sweet Misery,Martha Reeeves,Martha Reeves,2005-01-01,232906,13,0.724,0.0451,0.724,0.62,0.0,0.141,-7.755,0.0658,95.814,4
28,Nutshell,Nutshell,Phife Dawg,2016-04-06,164926,0,0.823,0.0882,0.823,0.65,0.0,0.0816,-8.955,0.354,94.2,4
30,Rapper's Delight,Rhino Hi-Five: The Sugarhill Gang,The Sugarhill Gang,2005-03-15,427360,54,0.9,0.465,0.9,0.845,0.0,0.0724,-7.306,0.257,111.187,4
31,Award Tour,Midnight Marauders,A Tribe Called Quest,1993-11-09,226440,64,0.812,0.00308,0.812,0.6,8.38e-06,0.173,-9.414,0.254,97.338,4
32,How Much A Dollar Cost,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,261746,60,0.624,0.415,0.624,0.729,0.0,0.135,-4.747,0.198,87.948,4
33,30 Hours,The Life Of Pablo,Kanye West,2016-06-10,323302,64,0.823,0.0359,0.823,0.813,0.0,0.0886,-6.71,0.288,95.012,4
34,Golden Era (feat. Joey Bada$$),PRhyme (Deluxe Version),PRhyme,2015-12-11,256608,33,0.362,0.0937,0.362,0.861,0.0,0.0938,-3.868,0.331,190.336,4
35,U With Me?,Views,Drake,2016-05-06,297373,61,0.429,0.338,0.429,0.43,1.18e-05,0.138,-11.373,0.165,174.983,4
36,The Creator,All Souled Out,Pete Rock,1991-06-11,283813,43,0.826,0.21,0.826,0.491,0.0729,0.0929,-11.264,0.165,115.998,4
37,Juice (Know The Ledge),Gold,Eric B. & Rakim,2005-01-01,241546,37,0.789,0.0377,0.789,0.904,0.00128,0.0861,-8.386,0.15,115.719,4
38,"Warm It Up, Kane",It's A Big Daddy Thing,Big Daddy Kane,1989,254026,54,0.878,0.0953,0.878,0.311,0.0,0.0808,-17.401,0.324,117.759,4
39,Treat 'Em Right,The One,Chubb Rock,1991-05-10,283306,49,0.932,0.0362,0.932,0.54,7.48e-05,0.204,-13.168,0.227,116.351,4
40,The Bronx,The Road From Memphis (Deluxe Edition),Booker T. Jones,2011-05-10,278493,43,0.649,0.175,0.649,0.421,0.0127,0.181,-8.084,0.0332,81.284,4
41,Standing in the Rain,Late Night Tales: Another Late Night - Groove Armada (Sampler),Groove Armada,2008-03-10,397560,0,0.715,0.193,0.715,0.936,0.0778,0.0889,-9.377,0.0438,123.978,4
42,Gentle Smiles (Saxy),The Shadow Do!,Gary Bartz,2009-01-01,261079,37,0.516,0.185,0.516,0.68,0.00307,0.0981,-7.771,0.0324,97.122,4
43,Loran's Dance,Reed Seed,"Grover Washington, Jr.",1978-01-01,457880,37,0.579,0.0427,0.579,0.437,0.0483,0.0603,-12.721,0.0526,91.866,4
1,Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986-03-31,226240,73,0.898,0.0135,0.898,0.271,0.00138,0.0461,-12.238,0.091,111.485,4
3,When Doves Cry,Purple Rain,Prince,1984-06-25,352906,71,0.729,0.0102,0.729,0.989,4.45e-05,0.443,-4.613,0.049,126.47,4
4,Nothing Compares 2 U,Nothing Compares 2 U,Prince,2018-04-19,280743,54,0.519,0.0952,0.519,0.563,7.02e-05,0.0895,-5.04,0.0364,124.02,4
7,Little Red Corvette - Single Version,4Ever,Prince,2016-11-22,188613,53,0.777,0.235,0.777,0.7,8.02e-06,0.836,-11.045,0.0869,122.94,4
8,Welcome 2 America,Welcome 2 America,Prince,2021-04-08,323813,11,0.528,0.437,0.528,0.314,6.37e-05,0.352,-15.118,0.223,169.854,3
9,Black Sweat,Anthology: 1995-2010,Prince,2018-08-17,191120,43,0.929,0.0325,0.929,0.593,2.11e-05,0.273,-5.925,0.279,108.862,4
10,1999,1999,Prince,1982-10-27,379266,62,0.866,0.137,0.866,0.73,0.0,0.0843,-8.201,0.0767,118.523,4
13,She's Always in My Hair,The Hits / The B-Sides,Prince,1993-09-13,207426,38,0.729,0.0891,0.729,0.777,0.000647,0.0469,-10.157,0.0424,92.308,4
15,Sign 'O' the Times,"Sign ""O"" the Times",Prince,1987-03-30,302760,52,0.701,0.00843,0.701,0.515,0.025,0.0772,-6.551,0.0988,197.768,4
16,Soft and Wet,For You,Prince,1978-04-07,185173,47,0.904,0.228,0.904,0.463,4.05e-05,0.39,-11.552,0.106,115.367,4
18,Uptown,Dirty Mind,Prince,1980-10-08,332240,39,0.849,0.000406,0.849,0.385,0.376,0.0368,-14.398,0.0638,125.408,4
19,Erotic City,The Hits / The B-Sides,Prince,1993-09-13,235493,42,0.941,0.0663,0.941,0.839,0.0115,0.242,-6.457,0.125,125.437,4
20,17 Days,The Hits / The B-Sides,Prince,1993-09-13,240066,36,0.852,0.0993,0.852,0.702,0.00476,0.0644,-9.566,0.0638,114.553,4
21,Dirty Mind,Dirty Mind,Prince,1980-10-08,254866,39,0.835,0.00415,0.835,0.209,0.878,0.125,-14.242,0.472,129.833,4
22,Darling Nikki,Purple Rain,Prince,1984-06-25,254493,51,0.355,0.383,0.355,0.707,1.74e-06,0.958,-10.634,0.134,78.433,4
23,So Blue,For You,Prince,1978-04-07,270200,38,0.736,0.526,0.736,0.127,4.1e-06,0.11,-19.721,0.039,106.142,3
24,I Feel for You,Prince,Prince,1979-10-19,205200,43,0.877,0.133,0.877,0.515,0.0228,0.0753,-12.613,0.0432,120.532,4
25,Mountains,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986-03-31,237626,44,0.652,0.0611,0.652,0.741,0.000177,0.0708,-12.071,0.0342,102.084,4
26,Purple Rain - Piano & A Microphone 1983 Version,Piano & A Microphone 1983,Prince,2018-09-14,86600,43,0.479,0.95,0.479,0.0972,0.00772,0.307,-15.077,0.0448,170.539,4
27,Alphabet St.,The Hits 1,Prince,1993-09-14,339933,0,0.825,0.313,0.825,0.97,0.247,0.105,-5.866,0.0675,104.357,4
28,Anotherloverholenyohead,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986-03-31,240693,42,0.839,0.294,0.839,0.526,0.000599,0.325,-12.717,0.0403,103.974,4
30,Nothing Compares 2 U (feat. Rosie Gaines) - Live,The Hits 1,Prince,1993-09-14,304800,0,0.669,0.474,0.669,0.504,5.41e-05,0.673,-5.858,0.0332,122.113,4
31,U Got the Look,"Sign ""O"" the Times",Prince,1987-03-30,227706,46,0.832,0.172,0.832,0.453,2.27e-05,0.0549,-15.012,0.0618,122.363,4
32,Thieves in the Temple,Music from Graffiti Bridge,Prince,1990-08-17,200680,42,0.775,0.0228,0.775,0.676,0.0,0.0631,-10.582,0.042,129.948,4
33,Batdance,Batman,Prince,1989-06-20,373733,47,0.594,0.168,0.594,0.702,0.109,0.142,-9.894,0.0842,135.406,4
34,Partyman,Batman,Prince,1989-06-20,191560,49,0.846,0.0521,0.846,0.617,0.00109,0.797,-11.6,0.0806,117.75,4
35,Housequake,"Sign ""O"" the Times",Prince,1987-03-30,282106,37,0.887,0.242,0.887,0.685,0.0163,0.0962,-15.42,0.0736,115.702,4
36,My Name Is Prince,[Love Symbol],Prince,1992-10-13,398333,38,0.798,0.0223,0.798,0.942,0.00286,0.044,-4.209,0.135,116.577,4
37,Gett Off,Diamonds and Pearls,Prince,1991-10-01,271666,0,0.655,0.00448,0.655,0.628,0.000732,0.29,-11.407,0.0946,99.841,4
38,Hot Thing,"Sign ""O"" the Times",Prince,1987-03-30,340706,35,0.769,0.00995,0.769,0.763,0.0109,0.0381,-7.208,0.0877,108.531,4
39,Something in the Water (Does Not Compute),1999,Prince,1982-10-27,242813,32,0.614,0.095,0.614,0.415,0.000169,0.15,-18.296,0.0636,169.002,4
40,Come,Come,Prince,1994-08-16,673160,33,0.75,0.00439,0.75,0.843,0.0122,0.373,-5.87,0.0798,91.378,4
41,If I Was Your Girlfriend,"Sign ""O"" the Times",Prince,1987-03-30,301733,41,0.87,0.46,0.87,0.366,0.0139,0.071,-18.998,0.0977,96.74,4
42,The Beautiful Ones,Purple Rain,Prince,1984-06-25,313960,52,0.548,0.0923,0.548,0.414,0.0049,0.0809,-12.074,0.0355,143.407,4
43,Under the Cherry Moon,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986-03-31,177200,39,0.548,0.0964,0.548,0.246,0.0552,0.351,-13.364,0.0356,176.976,3
44,International Lover,1999,Prince,1982-10-27,397880,33,0.595,0.138,0.595,0.277,0.000171,0.304,-19.08,0.0408,68.572,4
45,Adore,"Sign ""O"" the Times",Prince,1987-03-30,391400,41,0.715,0.562,0.715,0.576,0.000103,0.401,-7.06,0.0696,129.156,4
46,The Ballad of Dorothy Parker,"Sign ""O"" the Times",Prince,1987-03-30,235453,40,0.89,0.287,0.89,0.577,0.00291,0.111,-12.561,0.0709,102.855,4
47,Mary Don't You Weep - Piano & A Microphone 1983 Version,Mary Don't You Weep,Prince,2018-06-07,282384,0,0.471,0.92,0.471,0.265,0.00284,0.177,-10.24,0.0617,80.383,4
48,Diamonds and Pearls,Diamonds and Pearls,Prince,1991-10-01,285266,0,0.549,0.0532,0.549,0.547,0.321,0.0655,-10.119,0.0328,81.05,4
49,Graffiti Bridge,Music from Graffiti Bridge,Prince,1990-08-17,231893,33,0.535,0.00592,0.535,0.742,0.000188,0.0658,-8.554,0.0302,140.469,4
50,Space,Come,Prince,1994-08-16,268040,31,0.722,0.0517,0.722,0.774,0.341,0.108,-6.199,0.0866,94.855,4
51,Baby I'm a Star,Purple Rain,Prince,1984-06-25,264400,51,0.751,0.0135,0.751,0.776,0.000928,0.698,-9.901,0.074,137.931,4
52,America,Around the World in a Day,Prince,1985-04-22,222373,33,0.802,0.0636,0.802,0.804,0.00727,0.0668,-12.496,0.047,133.66,4
53,7,[Love Symbol],Prince,1992-10-13,310466,40,0.747,0.0917,0.747,0.749,0.0,0.0444,-6.255,0.0563,100.722,4
54,Girls & Boys,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986-03-31,329586,44,0.877,0.209,0.877,0.429,3.56e-06,0.702,-14.449,0.0694,116.698,4
55,Cream,Diamonds and Pearls,Prince,1991-10-01,253066,0,0.861,0.0974,0.861,0.604,0.358,0.0467,-8.44,0.0719,115.588,4
56,I Could Never Take the Place of Your Man,The Hits / The B-Sides,Prince,1993-09-13,389226,34,0.619,0.0741,0.619,0.602,0.0268,0.339,-14.872,0.0276,147.663,4
57,When You Were Mine,Dirty Mind,Prince,1980-10-08,225546,41,0.694,0.00657,0.694,0.444,0.776,0.0719,-13.254,0.0648,143.078,4
58,Take Me with U,Purple Rain,Prince,1984-06-25,234133,50,0.707,0.0859,0.707,0.814,0.00281,0.234,-10.677,0.0288,121.92,4
59,Sexy M.F.,The Hits / The B-Sides,Prince,1993-09-13,326093,38,0.77,0.169,0.77,0.744,0.00223,0.0537,-8.133,0.0937,106.15,4
60,Damn U,[Love Symbol],Prince,1992-10-13,265200,32,0.353,0.327,0.353,0.414,0.000392,0.685,-9.391,0.0591,182.566,3
61,Scandalous,Batman,Prince,1989-06-20,375706,46,0.761,0.293,0.761,0.404,0.00105,0.0559,-11.977,0.0641,124.524,4
62,Insatiable,Diamonds and Pearls,Prince,1991-10-01,399666,0,0.735,0.443,0.735,0.339,0.00564,0.0778,-11.956,0.0456,121.779,3
63,"Do Me, Baby",Controversy,Prince,1981-10-14,463840,41,0.612,0.144,0.612,0.258,6.89e-05,0.3,-17.34,0.071,70.208,4
64,How Come U Don't Call Me Anymore,The Hits / The B-Sides,Prince,1993-09-13,234773,38,0.556,0.905,0.556,0.128,0.00406,0.0712,-14.481,0.0688,83.065,4
65,Money Don't Matter 2 Night,Diamonds and Pearls,Prince,1991-10-01,286626,0,0.824,0.0291,0.824,0.569,2.35e-05,0.0595,-10.386,0.0348,110.129,4
66,The Morning Papers,[Love Symbol],Prince,1992-10-13,237373,33,0.514,0.177,0.514,0.719,4.09e-05,0.197,-5.381,0.0443,131.639,4
67,Sometimes It Snows in April,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986-03-31,409000,51,0.494,0.833,0.494,0.0644,0.0,0.0969,-23.939,0.0402,103.757,4
68,Venus De Milo,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,1986-03-31,115426,36,0.291,0.909,0.291,0.042,0.987,0.134,-25.621,0.0327,85.346,4
69,BREAKFAST CAN WAIT,ART OFFICIAL AGE,Prince,2014-09-26,234988,40,0.919,0.287,0.919,0.534,0.00488,0.0825,-5.507,0.216,91.984,4
70,THIS COULD BE US,ART OFFICIAL AGE,Prince,2014-09-26,312229,36,0.75,0.144,0.75,0.546,0.0,0.111,-6.43,0.0712,142.081,4
71,Stare,Stare,Prince,2015-07-28,223511,0,0.953,0.133,0.953,0.537,0.000692,0.0953,-6.687,0.138,130.806,4
72,Electric Intercourse - Studio Version,Electric Intercourse (Studio Version),Prince,2017-04-28,297226,0,0.64,0.36,0.64,0.499,3.47e-05,0.106,-11.117,0.166,72.386,4
73,Our Destiny / Roadhouse Garden,Our Destiny / Roadhouse Garden,Prince,2017-05-12,385409,0,0.7,0.00454,0.7,0.498,0.000537,0.0902,-12.088,0.165,132.055,4
0,Ain't Nothin' Goin' On But The Rent,Gold - '80s Soul,Various Artists,2006-01-01,212826,39,0.766,0.215,0.766,0.9,1.32e-05,0.121,-8.159,0.105,107.504,4
1,Get By,Quality,Talib Kweli,2002-12-16,227426,58,0.662,0.00324,0.662,0.928,0.0,0.17,-4.688,0.377,90.509,4
4,All Night Long,20th Century Masters: The Millennium Collection: Best of The Mary Jane Girls,Mary Jane Girls,2001-01-01,348293,0,0.764,0.179,0.764,0.48,0.0134,0.0689,-9.23,0.237,95.002,4
5,Che Che Cole Makossa,Daptone Gold,Various Artists,2009-11-24,249440,0,0.901,0.191,0.901,0.767,0.000216,0.0635,-6.292,0.222,109.195,4
6,Ladies First,All Hail The Queen,Queen Latifah,1989,238693,0,0.846,0.0572,0.846,0.795,0.0,0.307,-9.984,0.28,107.319,4
7,Mistadobalina,Hip Hop Fundamentals,Various Artists,2015-09-04,260306,0,0.85,0.0964,0.85,0.797,8.38e-06,0.34,-7.429,0.136,99.615,4
8,Apache,Hip Hop Fundamentals,Various Artists,2015-09-04,375293,0,0.827,0.332,0.827,0.928,0.0,0.101,-7.266,0.133,115.023,4
9,Off the Wall,Off the Wall,Michael Jackson,1979-08-10,246000,63,0.827,0.182,0.827,0.595,0.0,0.0785,-13.909,0.0565,118.741,4
10,"So Fresh, So Clean",Stankonia,Outkast,2000-10-31,240026,70,0.725,0.0281,0.725,0.64,0.0,0.099,-7.905,0.332,166.028,3
11,Rosa Parks,Aquemini,Outkast,1998-09-29,324373,65,0.792,0.105,0.792,0.701,0.0,0.761,-7.198,0.283,103.89,4
12,Watch Out For This (Bumaye),Free the Universe (Extended Version),Major Lazer,2013-04-16,269146,0,0.819,0.0196,0.819,0.759,6.53e-06,0.0613,-4.115,0.147,108.026,4
13,Baby Got Back,Mack Daddy,Sir Mix-A-Lot,1992-01-01,262826,0,0.937,0.00533,0.937,0.654,1.26e-06,0.0542,-11.187,0.322,128.462,4
14,Danza Kuduro,Meet The Orphans,Don Omar,2010-01-01,198773,77,0.4,0.0846,0.4,0.915,0.0,0.0503,-4.89,0.28,88.917,3
15,Solid Wall of Sound,We got it from Here... Thank You 4 Your service,A Tribe Called Quest,2016-11-11,223346,45,0.67,0.311,0.67,0.684,0.000274,0.181,-6.053,0.401,146.054,4
16,Passin' Me By,Bizarre Ride II The Pharcyde,The Pharcyde,1992-11-24,303493,69,0.759,0.0903,0.759,0.756,2.36e-06,0.265,-8.145,0.266,87.059,4
17,Faith - Remastered,Faith,George Michael,1987-10-30,193200,75,0.887,0.0094,0.887,0.48,3.58e-05,0.0662,-11.994,0.117,95.846,4
18,All My Love (feat. Ariana Grande & Machel Montano) [Remix],Peace Is The Mission,Major Lazer,2015-06-01,229750,0,0.435,0.0399,0.435,0.891,0.0,0.187,-3.907,0.178,115.166,4
19,Me & You ◑,Me & You ◑ / I Just Wanna Go Back ◐,HONNE,2018-04-27,243600,0,0.769,0.645,0.769,0.546,0.000231,0.0948,-8.27,0.0387,120.22,4
0,"So Far To Go - 7"" Edit",BBE Staff Selections 2016,Various Artists,2016-12-16,240000,0,0.675,0.00574,0.675,0.597,2.42e-05,0.145,-5.893,0.0434,90.327,4
1,The Resurge,BBE Staff Selections 2016,Various Artists,2016-12-16,236040,0,0.518,0.518,0.518,0.848,0.0,0.0818,-6.061,0.307,90.925,4
2,Fly Away,BBE Staff Selections 2016,Various Artists,2016-12-16,461312,0,0.805,0.0505,0.805,0.583,0.000174,0.142,-5.281,0.0646,87.618,4
3,I Got It - DJ Spinna Remix,BBE Staff Selections 2016,Various Artists,2016-12-16,259796,0,0.644,0.0366,0.644,0.512,0.000221,0.0674,-8.076,0.331,174.124,4
4,How Fast It Grows,BBE Staff Selections 2016,Various Artists,2016-12-16,250167,0,0.814,0.0735,0.814,0.638,1.5e-06,0.664,-8.988,0.317,90.986,4
5,Over Again - Ashley Beedle's North Street Mix,BBE Staff Selections 2016,Various Artists,2016-12-16,323613,0,0.786,0.386,0.786,0.683,0.0,0.357,-4.79,0.0522,115.993,4
6,It's Hard,BBE Staff Selections 2016,Various Artists,2016-12-16,307200,0,0.941,0.0313,0.941,0.664,8.22e-05,0.071,-7.234,0.178,126.979,4
7,212 North 12th,BBE Staff Selections 2016,Various Artists,2016-12-16,467993,0,0.706,0.0883,0.706,0.67,0.721,0.0841,-8.368,0.0476,122.013,4
8,Gas Line - Nik Weston Edit,BBE Staff Selections 2016,Various Artists,2016-12-16,293067,0,0.865,0.369,0.865,0.863,0.0112,0.102,-8.384,0.0761,118.849,4
9,Odo Me Ne Wo Do Yi,BBE Staff Selections 2016,Various Artists,2016-12-16,518679,0,0.648,0.38,0.648,0.902,1.4e-05,0.0739,-4.288,0.144,123.223,4
10,Why Do I Need An Education,BBE Staff Selections 2016,Various Artists,2016-12-16,205468,0,0.519,0.61,0.519,0.67,0.0,0.195,-6.115,0.179,72.045,4
11,Grooving When We Meet,BBE Staff Selections 2016,Various Artists,2016-12-16,339567,0,0.645,0.765,0.645,0.688,0.297,0.329,-7.536,0.0935,103.467,4
12,I Can Feel Your Jones,BBE Staff Selections 2016,Various Artists,2016-12-16,254506,0,0.564,0.18,0.564,0.875,0.0,0.0925,-7.408,0.0729,112.714,4
13,Rude Movements,BBE Staff Selections 2016,Various Artists,2016-12-16,471146,0,0.64,0.433,0.64,0.766,0.811,0.0558,-10.205,0.0413,107.949,4
14,The One That Got Away - DJ Raw Sugar Mix,BBE Staff Selections 2016,Various Artists,2016-12-16,279344,0,0.8,0.164,0.8,0.403,0.285,0.086,-9.086,0.0815,101.001,4
15,Beat of the Heart,BBE Staff Selections 2016,Various Artists,2016-12-16,231578,0,0.588,0.18,0.588,0.514,0.102,0.132,-7.766,0.0389,140.041,4
16,Seed of Doubt - Vin'S da Cuero Remix,BBE Staff Selections 2016,Various Artists,2016-12-16,348865,0,0.639,0.0387,0.639,0.607,0.000506,0.119,-8.172,0.0445,97.001,4
17,Silver Lining - Mr Cisum's Above the Storm Remix,BBE Staff Selections 2016,Various Artists,2016-12-16,308852,0,0.749,0.126,0.749,0.73,0.00183,0.351,-7.577,0.0506,94.02,4
18,GING - I.N.T Remix,BBE Staff Selections 2016,Various Artists,2016-12-16,250000,0,0.748,0.127,0.748,0.683,6.81e-06,0.217,-5.961,0.152,94.034,4
19,Fireheart,BBE Staff Selections 2016,Various Artists,2016-12-16,275997,0,0.799,0.0132,0.799,0.734,0.77,0.569,-9.526,0.0464,122.996,4
20,Intègration,BBE Staff Selections 2016,Various Artists,2016-12-16,200000,0,0.884,0.12,0.884,0.799,0.0,0.105,-8.877,0.318,119.921,4
21,Sugar - The Reflex Revision,BBE Staff Selections 2016,Various Artists,2016-12-16,419763,0,0.755,0.00665,0.755,0.753,0.00824,0.0529,-6.605,0.104,125.019,4
22,Timeless,BBE Staff Selections 2016,Various Artists,2016-12-16,486894,0,0.785,0.00431,0.785,0.682,0.812,0.27,-7.616,0.0452,115.009,4
23,Together - Jeremy's AllNew Vocal Mix,BBE Staff Selections 2016,Various Artists,2016-12-16,479226,0,0.829,0.0013,0.829,0.639,0.579,0.0444,-8.779,0.0495,124.977,4
24,Ministers,BBE Staff Selections 2016,Various Artists,2016-12-16,305263,0,0.554,0.524,0.554,0.939,0.813,0.111,-4.499,0.0341,101.987,4
25,The Square - Dub,BBE Staff Selections 2016,Various Artists,2016-12-16,266117,0,0.674,0.00744,0.674,0.628,0.773,0.0728,-7.517,0.0543,170.049,4
26,Beija Flor,BBE Staff Selections 2016,Various Artists,2016-12-16,189809,0,0.66,0.78,0.66,0.51,0.696,0.098,-12.806,0.0385,92.056,4
27,Love Flower,BBE Staff Selections 2016,Various Artists,2016-12-16,237459,0,0.651,0.0928,0.651,0.601,0.53,0.127,-8.304,0.0408,123.826,4
28,Tarzan,BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,252973,0,0.567,0.0642,0.567,0.954,0.0248,0.168,-4.168,0.0569,120.243,4
29,Kwajilori,BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,330093,0,0.717,0.0981,0.717,0.883,0.00203,0.155,-7.364,0.0443,114.814,4
30,Charity Begins At Home,BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,372390,0,0.431,0.0691,0.431,0.812,3.8e-05,0.0843,-7.235,0.0975,129.329,4
31,Gele Odun (Oil Boom),BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,594611,0,0.432,0.252,0.432,0.816,6.8e-05,0.326,-9.265,0.191,129.391,4
32,We Know How To Boogie,BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,410019,0,0.739,0.28,0.739,0.766,0.0466,0.223,-7.455,0.125,119.167,4
33,Plastic People - G&D Edit,BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,359253,0,0.706,0.825,0.706,0.788,0.107,0.269,-10.116,0.0356,106.817,4
34,Gas Line,BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,254613,0,0.768,0.457,0.768,0.871,0.00262,0.517,-8.574,0.0848,117.255,4
35,Sunkwa (Life First),BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,166386,0,0.685,0.229,0.685,0.833,0.828,0.181,-10.215,0.0423,110.621,4
36,Unity in Africa (Kasowopo Kasekan),BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,486946,0,0.442,0.0814,0.442,0.762,0.0122,0.356,-7.148,0.09,134.995,4
37,Exodus,BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,79803,0,0.665,0.00815,0.665,0.605,2.04e-05,0.113,-9.21,0.382,98.588,4
38,Baby Doll,BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,314360,0,0.761,0.499,0.761,0.854,0.337,0.117,-8.619,0.0505,125.754,4
39,Love Flower,BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,237459,0,0.651,0.0928,0.651,0.601,0.53,0.127,-8.304,0.0408,123.826,4
40,Time is Wasting,BBE20 Anniversary Mix Series #5 by Gavin Hardkiss,Various Artists,2016-12-30,228224,0,0.599,0.953,0.599,0.205,0.357,0.11,-16.897,0.0589,139.725,4
41,Come And Play In The Milky Night,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,252293,0,0.686,0.018,0.686,0.763,0.69,0.0892,-8.689,0.03,92.701,4
42,Ready Or Not,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,209168,0,0.702,0.00611,0.702,0.788,0.0,0.15,-5.124,0.114,87.207,4
43,Joy,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,223533,0,0.663,5.27e-05,0.663,0.705,0.883,0.0695,-7.804,0.0679,178.019,4
44,High Horse,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,249918,0,0.664,0.0492,0.664,0.842,0.0,0.228,-6.037,0.192,95.455,4
45,Music,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,204125,0,0.73,0.0439,0.73,0.668,0.0,0.21,-5.327,0.251,91.952,4
46,Layer,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,233506,0,0.893,0.128,0.893,0.845,0.11,0.331,-8.013,0.577,99.431,4
47,Shine,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,269586,0,0.662,0.187,0.662,0.678,0.0,0.112,-7.627,0.124,90.674,4
48,Across The Globe,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,240073,0,0.743,0.0689,0.743,0.777,1.77e-06,0.135,-7.699,0.118,90.009,4
49,I Am Your Mind - Pépé Bradock's Asynchronous Adventures,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,449719,0,0.801,0.255,0.801,0.48,0.176,0.156,-11.824,0.125,105.389,4
50,ME,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,291133,0,0.715,0.122,0.715,0.609,9.63e-05,0.109,-5.982,0.0336,100.748,4
51,Something About Her,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,230775,0,0.761,0.0136,0.761,0.707,0.00238,0.103,-7.263,0.0335,112.971,4
52,All Night (Everybody) - Caserta's Dub,BBE20 Anniversary Mix Series #4 by Inkswel,Various Artists,2016-12-23,263419,0,0.815,0.123,0.815,0.635,0.851,0.676,-7.159,0.0738,112.955,4
